idu,nom_com,code_dep,section,numero,area_m2,built_m2,built_pct,zone_name
93078000AX0002,Villepinte,93,AX,0002,21762.0,0.0,0.0,
93066000BK0014,Saint-Denis,93,BK,0014,21476.0,0.0,0.0,Equinix
930270000F0144,La Courneuve,93,0F,0144,24054.0,0.0,0.0,Chaufferie 4000 Nord
930660590I0015,Saint-Denis,93,0I,0015,22653.0,0.0,0.0,
93029000AO0161,Drancy,93,AO,0161,20838.0,0.0,0.0,
93029000AO0164,Drancy,93,AO,0164,26411.0,0.0,0.0,
930010000P0167,Aubervilliers,93,0P,0167,23502.0,0.0,0.0,
93073000BD0017,Tremblay-en-France,93,BD,0017,26318.0,0.0,0.0,
930550000S0018,Pantin,93,0S,0018,23407.0,0.0,0.0,
930270000N0182,La Courneuve,93,0N,0182,20528.0,0.0,0.0,
930480000G0183,Montreuil,93,0G,0183,21379.0,0.0,0.0,
93007000BI0019,Le Blanc-Mesnil,93,BI,0019,20253.0,0.0,0.0,Zone d'Activités du Coudray
93005000DW0019,Aulnay-sous-Bois,93,DW,0019,20999.0,0.0,0.0,Zone Industrielle Les Mardelles
930130000O0002,Le Bourget,93,0O,0002,21332.0,0.0,0.0,Zone industrielle Vaillant
930660590R0139,Saint-Denis,93,0R,0139,23414.0,0.0,0.0,
93007000BD0002,Le Blanc-Mesnil,93,BD,0002,20158.0,0.0,0.0,Zone Industrielle de la Molette
930390000D0020,L'Île-Saint-Denis,93,0D,0020,25655.0,0.0,0.0,
930270000R0205,La Courneuve,93,0R,0205,20096.0,0.0,0.0,Zone Industrielle Rateau
93010000AQ0210,Bondy,93,AQ,0210,22147.0,0.0,0.0,Centre Technique Municipal
930270000N0212,La Courneuve,93,0N,0212,20329.0,0.0,0.0,
93005000AZ0214,Aulnay-sous-Bois,93,AZ,0214,23743.0,0.0,0.0,Zone Industrielle Chanteloup
93010000BE0215,Bondy,93,BE,0215,23982.0,0.0,0.0,
930700000J0023,Saint-Ouen-sur-Seine,93,0J,0023,24485.0,0.0,0.0,VALAD Parc des Docks
93050000AW0238,Neuilly-sur-Marne,93,AW,0238,28402.0,0.0,0.0,
930270000N0240,La Courneuve,93,0N,0240,20698.0,0.0,0.0,
93050000AO0249,Neuilly-sur-Marne,93,AO,0249,20000.0,0.0,0.0,
930660590I0025,Saint-Denis,93,0I,0025,25164.0,0.0,0.0,
920360000P0087,Gennevilliers,92,0P,0087,20553.0,0.0,0.0,
920500000O0005,Nanterre,92,0O,0005,28928.0,0.0,0.0,Autocars Delion
920360000H0055,Gennevilliers,92,0H,0055,23989.0,0.0,0.0,Thales SIX GTS France
92063000AM0722,Rueil-Malmaison,92,AM,0722,20172.0,0.0,0.0,
92048000AL0729,Meudon,92,AL,0729,20300.0,0.0,0.0,
920360000D0074,Gennevilliers,92,0D,0074,25207.0,0.0,0.0,
92036000AO0075,Gennevilliers,92,AO,0075,25986.0,0.0,0.0,
920400000C0077,Issy-les-Moulineaux,92,0C,0077,20463.0,0.0,0.0,Centre de tri et d'incinération des déchets Isséane
