type,url,local,size_kb,has_lorem,useful
page,https://eurealimmo.com,eurealimmo-scrape\pages\index.html,139.8,yes,no_lorem
media,https://eurealimmo.com/themes/flex-home/libraries/owl-carousel/owl.theme.default.css,eurealimmo-scrape\media\themes_flex-home_libraries_owl-carousel_owl.theme.default.css,1.3,no,tbd
media,https://eurealimmo.com/storage/general/home-banner.jpg,eurealimmo-scrape\media\storage_general_home-banner.jpg,616.5,no,tbd
media,https://eurealimmo.com/themes/flex-home/images/g3.png,eurealimmo-scrape\media\themes_flex-home_images_g3.png,1885.6,no,tbd
media,https://eurealimmo.com#flags_fr_a,eurealimmo-scrape\media\index,139.9,no,tbd
media,https://eurealimmo.com/storage/fonts/12dd16c23c/snunitosansv18pe0tmimslybiv1o4x1m8ce2xcx3yop4tqpf-metm0lfgwvpnn64cl7u8uphzibmv51q42ptcp7t7r-tqkr51pe8.woff2,eurealimmo-scrape\media\storage_fonts_12dd16c23c_snunitosansv18pe0tmimslybiv1o4x1m8ce2xcx3yop4tqpf-metm0lfgwvpnn64cl7u8uphzibmv51q42ptcp7t7r-tqkr51pe8.woff2,27.2,no,tbd
media,https://eurealimmo.com/storage/fonts/12dd16c23c/snunitosansv18pe0tmimslybiv1o4x1m8ce2xcx3yop4tqpf-metm0lfgwvpnn64cl7u8uphzibmv51q42ptcp7t6r-tqkr51pe8.woff2,eurealimmo-scrape\media\storage_fonts_12dd16c23c_snunitosansv18pe0tmimslybiv1o4x1m8ce2xcx3yop4tqpf-metm0lfgwvpnn64cl7u8uphzibmv51q42ptcp7t6r-tqkr51pe8.woff2,10.1,no,tbd
media,https://eurealimmo.com/themes/flex-home/libraries/bootstrap/bootstrap.min.v4.css,eurealimmo-scrape\media\themes_flex-home_libraries_bootstrap_bootstrap.min.v4.css,152.1,no,tbd
media,https://eurealimmo.com/themes/flex-home/images/g4.png,eurealimmo-scrape\media\themes_flex-home_images_g4.png,6415.8,no,tbd
media,https://eurealimmo.com/storage/logo/f488ca84d2a5148161ebd8f7d717776f49f7e136-1-1-1.png,eurealimmo-scrape\media\storage_logo_f488ca84d2a5148161ebd8f7d717776f49f7e136-1-1-1.png,93.6,no,tbd
media,https://eurealimmo.com/themes/flex-home/images/g6.png,eurealimmo-scrape\media\themes_flex-home_images_g6.png,3391.2,no,tbd
media,https://eurealimmo.com/themes/flex-home/images/g1.png,eurealimmo-scrape\media\themes_flex-home_images_g1.png,1866.4,no,tbd
media,https://eurealimmo.com/storage/logo-1.png,eurealimmo-scrape\media\storage_logo-1.png,72.0,no,tbd
media,https://eurealimmo.com/storage/fonts/12dd16c23c/snunitosansv18pe0tmimslybiv1o4x1m8ce2xcx3yop4tqpf-metm0lfgwvpnn64cl7u8uphzibmv51q42ptcp7txr-tqkr51pe8.woff2,eurealimmo-scrape\media\storage_fonts_12dd16c23c_snunitosansv18pe0tmimslybiv1o4x1m8ce2xcx3yop4tqpf-metm0lfgwvpnn64cl7u8uphzibmv51q42ptcp7txr-tqkr51pe8.woff2,16.1,no,tbd
media,https://eurealimmo.com/storage/fonts/12dd16c23c/snunitosansv18pe0tmimslybiv1o4x1m8ce2xcx3yop4tqpf-metm0lfgwvpnn64cl7u8uphzibmv51q42ptcp7t4r-tqkr51pe8.woff2,eurealimmo-scrape\media\storage_fonts_12dd16c23c_snunitosansv18pe0tmimslybiv1o4x1m8ce2xcx3yop4tqpf-metm0lfgwvpnn64cl7u8uphzibmv51q42ptcp7t4r-tqkr51pe8.woff2,21.2,no,tbd
media,https://eurealimmo.com/themes/flex-home/images/about.png,eurealimmo-scrape\media\themes_flex-home_images_about.png,1229.5,no,tbd
media,https://eurealimmo.com/themes/flex-home/images/g5.png,eurealimmo-scrape\media\themes_flex-home_images_g5.png,780.6,no,tbd
media,https://eurealimmo.com/vendor/core/core/base/libraries/ckeditor/content-styles.css,eurealimmo-scrape\media\vendor_core_core_base_libraries_ckeditor_content-styles.css,10.0,no,tbd
media,https://eurealimmo.com/storage/fonts/12dd16c23c/snunitosansv18pe0tmimslybiv1o4x1m8ce2xcx3yop4tqpf-metm0lfgwvpnn64cl7u8uphzibmv51q42ptcp7t1r-tqkr51.woff2,eurealimmo-scrape\media\storage_fonts_12dd16c23c_snunitosansv18pe0tmimslybiv1o4x1m8ce2xcx3yop4tqpf-metm0lfgwvpnn64cl7u8uphzibmv51q42ptcp7t1r-tqkr51.woff2,30.3,no,tbd
media,https://eurealimmo.com/themes/flex-home/css/style.css,eurealimmo-scrape\media\themes_flex-home_css_style.css,64.5,no,tbd
media,https://eurealimmo.com/themes/flex-home/images/g2.png,eurealimmo-scrape\media\themes_flex-home_images_g2.png,1139.3,no,tbd
media,https://eurealimmo.com/themes/flex-home/libraries/fontawesome/css/fontawesome.min.css,eurealimmo-scrape\media\themes_flex-home_libraries_fontawesome_css_fontawesome.min.css,156.1,no,tbd
media,https://eurealimmo.com/themes/flex-home/libraries/owl-carousel/owl.carousel.min.css,eurealimmo-scrape\media\themes_flex-home_libraries_owl-carousel_owl.carousel.min.css,3.3,no,tbd
page,https://eurealimmo.com/about-us,eurealimmo-scrape\pages\about-us.html,62.2,yes,no_lorem
page,https://eurealimmo.com/agents,eurealimmo-scrape\pages\agents.html,59.3,yes,no_lorem
media,https://eurealimmo.com/storage/general/breadcrumb-background.jpg,eurealimmo-scrape\media\storage_general_breadcrumb-background.jpg,494.0,no,tbd
page,https://eurealimmo.com/agents.xml,eurealimmo-scrape\pages\agents.xml.html,0.8,no,maybe
page,https://eurealimmo.com/blog-categories.xml,eurealimmo-scrape\pages\blog-categories.xml.html,1.9,no,maybe
page,https://eurealimmo.com/blog-tags.xml,eurealimmo-scrape\pages\blog-tags.xml.html,1.5,no,maybe
page,https://eurealimmo.com/contact,eurealimmo-scrape\pages\contact.html,72.9,yes,no_lorem
page,https://eurealimmo.com/cookie-policy,eurealimmo-scrape\pages\cookie-policy.html,61.2,yes,no_lorem
page,https://eurealimmo.com/faqs,eurealimmo-scrape\pages\faqs.html,63.3,yes,no_lorem
page,https://eurealimmo.com/news,eurealimmo-scrape\pages\news.html,59.6,yes,no_lorem
page,https://eurealimmo.com/pages.xml,eurealimmo-scrape\pages\pages.xml.html,4.0,no,maybe
page,https://eurealimmo.com/pricing-plans,eurealimmo-scrape\pages\pricing-plans.html,70.9,yes,no_lorem
page,https://eurealimmo.com/projects,eurealimmo-scrape\pages\projects.html,72.2,yes,no_lorem
page,https://eurealimmo.com/projects-city.xml,eurealimmo-scrape\pages\projects-city.xml.html,2.6,no,maybe
page,https://eurealimmo.com/properties,eurealimmo-scrape\pages\properties.html,81.4,yes,no_lorem
media,https://eurealimmo.com/themes/flex-home/images/bed.svg,eurealimmo-scrape\media\themes_flex-home_images_bed.svg,1.5,no,tbd
media,https://eurealimmo.com/themes/flex-home/libraries/leaflet/MarkerCluster.css,eurealimmo-scrape\media\themes_flex-home_libraries_leaflet_MarkerCluster.css,0.9,no,tbd
media,https://eurealimmo.com/themes/flex-home/libraries/leaflet/MarkerCluster.Default.css,eurealimmo-scrape\media\themes_flex-home_libraries_leaflet_MarkerCluster.Default.css,1.3,no,tbd
media,https://eurealimmo.com/themes/flex-home/images/bath.svg,eurealimmo-scrape\media\themes_flex-home_images_bath.svg,1.3,no,tbd
media,https://eurealimmo.com/themes/flex-home/libraries/leaflet/leaflet.css,eurealimmo-scrape\media\themes_flex-home_libraries_leaflet_leaflet.css,13.3,no,tbd
page,https://eurealimmo.com/properties-city.xml,eurealimmo-scrape\pages\properties-city.xml.html,2.6,no,maybe
page,https://eurealimmo.com/properties/city/drancy,eurealimmo-scrape\pages\properties_city_drancy.html,80.4,yes,no_lorem
page,https://eurealimmo.com/properties/city/le-veysinet,eurealimmo-scrape\pages\properties_city_le-veysinet.html,80.5,yes,no_lorem
page,https://eurealimmo.com/properties/city/lyon,eurealimmo-scrape\pages\properties_city_lyon.html,80.4,yes,no_lorem
page,https://eurealimmo.com/properties/city/paris,eurealimmo-scrape\pages\properties_city_paris.html,80.4,yes,no_lorem
page,https://eurealimmo.com/properties/city/saint-etienne,eurealimmo-scrape\pages\properties_city_saint-etienne.html,80.5,yes,no_lorem
page,https://eurealimmo.com/properties/city/vitry-sur-seine,eurealimmo-scrape\pages\properties_city_vitry-sur-seine.html,80.5,yes,no_lorem
page,https://eurealimmo.com/terms-conditions,eurealimmo-scrape\pages\terms-conditions.html,64.2,yes,no_lorem
